schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,merge,random,1000,2000,293637375,6811.122051475906,,,,,4489296,16303736,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,turso-async,100000,1,merge,clustered,1000,2000,5297792,377515.7650583488,,,,,4489296,4736496,100000,100000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,put,append,5000,5000,2717946334,1839.624255068165,279500,748167,12210292,48296834,23547904,133013296,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,put,random,5000,5000,5142982417,972.198540573,400709,1745917,16441791,171776041,23547904,190267424,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,put,clustered,5000,5000,4013959584,1245.6528012714539,270791,2033667,13321625,195046125,23547904,151781288,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,batch,append,5000,5000,352855334,14170.113126304617,,,,,23547904,24194584,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,batch,random,5000,5000,1961184959,2549.479067262212,,,,,23547904,68176824,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,batch,clustered,5000,5000,398527708,12546.179097790611,,,,,23547904,24000944,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,diff,append,5000,5000,7795125,641426.5326085214,,,,,23547904,23822336,505000,505000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,diff,random,5000,5000,242384958,20628.34278684901,,,,,23547904,45101056,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,diff,clustered,5000,5000,5050666,989968.4516853817,,,,,23547904,23805952,500000,500000,true,
sqlite-turso-local-v1,57e8ecfa4ba6348d9ecbdff055d42a84b6ebabf5,true,sqlite-sync,500000,1,merge,append,5000,10000,101066458,98944.79531478188,,,,,23547904,24113152,510000,510000,true,
