profile,records,workload,runs,operations,original_total_ns,current_total_ns,latency_delta_pct,latency_class,original_min_ns,original_max_ns,current_min_ns,current_max_ns,original_ns_per_op,current_ns_per_op,original_ops_per_sec,current_ops_per_sec,original_peak_rss,current_peak_rss,rss_delta_pct,memory_regression,original_fixture_bytes,current_fixture_bytes,fixture_delta_pct,size_regression,original_nodes_read,current_nodes_read,original_nodes_written,current_nodes_written,original_bytes_read,current_bytes_read,original_bytes_written,current_bytes_written,io_regression,original_tree_bytes,current_tree_bytes,original_node_payload,current_node_payload,original_num_nodes,current_num_nodes,original_height,current_height,original_entries,current_entries
full,10000,random_reads_warm_manager,5,1000000,640000875,421371917,-34.161,material gain,605632917,705526000,409927917,488688375,640.001,421.372,1562497.864,2373200.395,6078464,5865472,-3.504,false,516096,516096,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,random_sparse_diff,5,100,4101542,2358458,-42.498,material gain,3892708,4525917,2186000,2410292,41015.420,23584.580,24381.074,42400.585,11075584,10272768,-7.249,false,954368,958464,0.429,false,70,70,0,0,763246,780304,0,0,false,414221,416075,795844,806227,40,39,1,1,10000,10000
full,10000,right_edge_reads_cold_manager,5,1000000,643028042,431082084,-32.961,material gain,605591166,747409666,412546792,490175208,643.028,431.082,1555142.132,2319743.819,5881856,5636096,-4.178,false,516096,516096,0.000,false,40,39,0,0,414221,416075,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,right_edge_reads_warm_manager,5,1000000,626169500,430490292,-31.250,material gain,604400375,709146417,407605375,484162500,626.169,430.490,1597011.672,2322932.755,5849088,5652480,-3.361,false,516096,516096,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,shuffled_batch_build,5,10000,5965417,5896958,-1.148,noise-sensitive,5723958,7426666,5689792,8146458,596.542,589.696,1676328.746,1695789.592,10649600,10469376,-1.692,false,483328,483328,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,10000,sorted_stream_build,5,10000,6254667,5917375,-5.393,noise-sensitive,5921834,7622833,5639541,7508750,625.467,591.737,1598806.139,1689938.528,8552448,8011776,-6.322,false,483328,483328,0.000,false,0,0,0,0,0,0,0,0,false,414221,416075,414221,416075,40,39,1,1,10000,10000
full,50000,append_batch_upserts,5,500,4847542,6426333,32.569,noise-sensitive,4664917,13865041,4752042,15562584,9695.084,12852.666,103145.058,77804.869,16875520,15908864,-5.728,false,2408448,2420736,0.510,false,2,2,6,5,8594,17614,29466,38557,true,2092074,2100520,2100668,2118134,203,190,1,1,50500,50500
full,50000,append_disjoint_sparse_merge,5,500,1494208,1557042,4.205,material regression,1266500,2618666,1280708,1847541,2988.416,3114.084,334625.434,321121.717,17121280,15745024,-8.038,false,2433024,2457600,1.010,false,7,7,3,3,37988,59058,20795,23825,true,2091996,2100520,2121846,2150939,202,190,1,1,50500,50500
full,50000,append_sparse_diff,5,500,952208,367750,-61.379,noise-sensitive,649416,1520042,340292,993083,1904.416,735.500,525095.357,1359619.307,16465920,15351808,-6.766,false,2441216,2453504,0.503,false,8,7,0,0,38060,56171,0,0,true,2092074,2100520,2100668,2118134,203,190,1,1,50500,50500
full,50000,clustered_batch_deletes,5,500,6165250,6412541,4.011,noise-sensitive,4330875,13376292,3990250,19073959,12330.500,12825.082,81099.712,77972.211,16531456,15302656,-7.433,false,2387968,2404352,0.686,false,4,6,3,2,39304,70384,18668,18360,true,2050566,2058769,2089870,2097937,198,185,1,1,49500,49500
