implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,merge_convergent,convergent,10000,166,0.017,60240963855.422,603f1e52d1fb66c0,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,375029760
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,1,clustered,merge_conflict,conflict,10000,6850500,685.050,1459747.464,8d7cb90491bda136,1c0ae14b10c9ea65,1000000,1000000,1000000,10000,true,1,375029760
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,full_diff,compare,10000,2761459,276.146,3621274.116,4c9c716f8c378df5,891abef031815643,10000,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,range_diff,compare,2000,499750,249.875,4002001.001,4c9c716f8c378df5,19ad14773022116b,2000,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,patch_generate,compare,10000,14375,1.438,695652173.913,4c9c716f8c378df5,891abef031815643,4,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,patch_apply,compare,10000,33125,3.312,301886792.453,4c9c716f8c378df5,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,merge_disjoint,disjoint,20000,768000,38.400,26041666.667,c96236c2e32f42fe,5dbfc3146c5d831b,1000000,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,merge_convergent,convergent,10000,35958,3.596,278102230.380,603f1e52d1fb66c0,1c0ae14b10c9ea65,1000000,1000000,1000000,0,true,1,562102272
dolt-go,6b2372c7d4de+runner.8f69a849a214,prolly-version-compare-v2,1000000,1,clustered,merge_conflict,conflict,10000,6300208,630.021,1587249.183,8d7cb90491bda136,1c0ae14b10c9ea65,1000000,1000000,1000000,10000,true,1,562102272
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,full_diff,compare,300000,19076708,63.589,15725983.749,1d2c9504cff957cd,455045c6a9e6e6bb,300000,1000000,1300000,0,true,1,933724160
rust,fc2dcae8e5d5+src.4dfe4dc7b90d,prolly-version-compare-v2,1000000,30,append,range_diff,compare,129999,11331000,87.162,11472862.060,1d2c9504cff957cd,5319ad9b0b1871fd,129999,1000000,1300000,0,true,1,933724160
