schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,batch,random,10000,10000,1454391209,6875.729128530506,,,,,44539984,85266512,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,batch,clustered,10000,10000,146516250,68251.81507170707,,,,,44539984,45149744,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,diff,append,10000,10000,5956333,1678885.3141689694,,,,,44539984,45145624,1010000,1010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,diff,random,10000,10000,820620333,12185.903270812569,,,,,44539984,85266512,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,diff,clustered,10000,10000,22477792,444883.5543989374,,,,,44539984,45149744,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,merge,append,10000,20000,22785791,877739.9915587745,,,,,44539984,45804824,1020000,1020000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,merge,random,10000,20000,9380624375,2132.0542429245284,,,,,44539984,163639376,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,1000000,1,merge,clustered,10000,20000,7117375,2810024.763343227,,,,,44539984,45825424,1000000,1000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,put,append,10000,10000,5811567958,1720.70602499526,273625,834917,14641916,39015250,94461952,292732840,2010000,2010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,put,random,10000,10000,8617819375,1160.3863535373762,476791,1350958,15164500,50139792,94461952,478822648,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,put,clustered,10000,10000,7563013958,1322.2241893950502,417667,1106959,12696125,63826500,94461952,528916632,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,batch,append,10000,10000,91781458,108954.4687773428,,,,,94461952,95429992,2010000,2010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,batch,random,10000,10000,2789441625,3584.9468619010804,,,,,94461952,244558920,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,batch,clustered,10000,10000,121686083,82178.66623252226,,,,,94461952,95397032,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,diff,append,10000,10000,13828917,723122.4252774096,,,,,94461952,94945280,2010000,2010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,diff,random,10000,10000,857826875,11657.363847454651,,,,,94461952,166514688,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,diff,clustered,10000,10000,11499166,869628.2843468823,,,,,94461952,94945280,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,merge,append,10000,20000,120274500,166286.2867856445,,,,,94461952,95453184,2020000,2020000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,merge,random,10000,20000,16859217333,1186.2946900181585,,,,,94461952,295985152,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,sqlite-sync,2000000,1,merge,clustered,10000,20000,7212542,2772947.4573596935,,,,,94461952,95522816,2000000,2000000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,2000000,1,put,append,10000,10000,14560408959,686.7938962537762,1319458,1831083,6681042,40427625,89223248,242167456,2010000,2010000,true,
sqlite-turso-local-v1,7d26dde15b2492a07b58fe908aeecf73978d3abd,true,turso-async,2000000,1,put,random,10000,10000,26784401833,373.3516269039616,2475167,3676541,8424833,59496125,89223248,425172384,2000000,2000000,true,
