suite,target,records,api,pattern,pairs,samples_per_revision_pair,baseline_median_ns,candidate_median_ns,median_latency_change_pct,baseline_throughput,candidate_throughput,throughput_change_pct,baseline_p50_ns,candidate_p50_ns,p50_change_pct,baseline_p95_ns,candidate_p95_ns,p95_change_pct,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns
local-adapters,rocksdb-sync,10000,put,clustered,5,3,3899041.0,3793458.0,-2.7079222814020163,25647.332254264576,26361.172312966166,2.783291656319904,37666.0,37125.0,-1.4363086072319864,44250.0,42333.0,-4.332203389830509,-1.3774669207120418,-53708.0,1.396706085012663,-1.762324362943558,-666.0,-4.332203389830509,-1917.0
local-adapters,rocksdb-sync,10000,put,random,5,3,3780750.0,3752292.0,-0.752707796072208,26449.778483105205,26650.377955660166,0.7584164558621681,34833.0,34750.0,-0.23827979215112105,65166.0,65625.0,0.7043550317650309,3.053993425133554,116291.0,-2.9634886758194474,5.623977262940316,1959.0,0.9606236380934843,626.0
local-adapters,rocksdb-sync,10000,reopen,append,5,3,3052291.0,3227708.0,5.747060159073954,327.62275942890113,309.81736885740594,-5.434723339285964,3052291.0,3227708.0,5.747060159073954,3052291.0,3227708.0,5.747060159073954,2.281496607894416,67750.0,-2.2306054208815085,2.281496607894416,67750.0,2.281496607894416,67750.0
local-adapters,rocksdb-sync,10000,reopen,clustered,5,3,3258750.0,3100083.0,-4.868952819332566,306.8661296509398,322.57200855589997,5.118153288153896,3258750.0,3100083.0,-4.868952819332566,3258750.0,3100083.0,-4.868952819332566,-10.616433115090897,-339916.0,11.87738807599913,-10.616433115090897,-339916.0,-10.616433115090897,-339916.0
local-adapters,rocksdb-sync,10000,reopen,random,5,3,3532584.0,3520875.0,-0.33145708637077,283.07890201620114,284.02030745198283,0.3325593779955424,3532584.0,3520875.0,-0.33145708637077,3532584.0,3520875.0,-0.33145708637077,-2.5689125961477797,-92833.0,2.6366457201689983,-2.5689125961477797,-92833.0,-2.5689125961477797,-92833.0
local-adapters,slatedb-sync,10000,batch,append,5,3,102565708.0,102400417.0,-0.1611562024219635,974.9847385638872,976.5585231942953,0.16141633485732648,102565708.0,102400417.0,-0.1611562024219635,102565708.0,102400417.0,-0.1611562024219635,0.535079049992586,549334.0,-0.5322311923846114,0.535079049992586,549334.0,0.535079049992586,549334.0
local-adapters,slatedb-sync,10000,batch,clustered,5,3,102543542.0,103078541.0,0.5217286135873871,975.1954930521124,970.1340262470343,-0.5190207339081332,102543542.0,103078541.0,0.5217286135873871,102543542.0,103078541.0,0.5217286135873871,0.12882881018000938,132624.0,-0.1286630550969891,0.12882881018000938,132624.0,0.12882881018000938,132624.0
local-adapters,slatedb-sync,10000,batch,random,5,3,102758542.0,103234750.0,0.4634242474946754,973.1551076308576,968.666074165918,-0.4612865338464082,102758542.0,103234750.0,0.4634242474946754,102758542.0,103234750.0,0.4634242474946754,0.4994057670025481,511291.0,-0.49692409939257004,0.4994057670025481,511291.0,0.4994057670025481,511291.0
local-adapters,slatedb-sync,10000,build,append,5,3,101073041.0,100820000.0,-0.2503545925762736,98938.35092979937,99186.66931164451,0.250982939892871,101073041.0,100820000.0,-0.2503545925762736,101073041.0,100820000.0,-0.2503545925762736,-0.9588362934484183,-969125.0,0.9681189694916593,-0.9588362934484183,-969125.0,-0.9588362934484183,-969125.0
local-adapters,slatedb-sync,10000,build,clustered,5,3,100947791.0,100633833.0,-0.3110102726269662,99061.10773637434,99370.15913922308,0.31198056423031184,100947791.0,100633833.0,-0.3110102726269662,100947791.0,100633833.0,-0.3110102726269662,0.06148472983289313,62291.0,-0.06144694934209525,0.06148472983289313,62291.0,0.06148472983289313,62291.0
local-adapters,slatedb-sync,10000,build,random,5,3,101354334.0,100939334.0,-0.40945461690863655,98663.76311051483,99069.40737294739,0.4111380405977307,101354334.0,100939334.0,-0.40945461690863655,101354334.0,100939334.0,-0.40945461690863655,0.18181081428331405,183958.0,-0.18148086244954575,0.18181081428331405,183958.0,0.18181081428331405,183958.0
local-adapters,slatedb-sync,10000,diff,append,5,3,19000.0,15750.0,-17.105263157894736,5263157.894736842,6349206.349206349,20.634920634920626,19000.0,15750.0,-17.105263157894736,19000.0,15750.0,-17.105263157894736,-15.131578947368421,-2875.0,17.82945736434109,-15.131578947368421,-2875.0,-15.131578947368421,-2875.0
local-adapters,slatedb-sync,10000,diff,clustered,5,3,21417.0,24875.0,16.146052201522153,4669188.028201896,4020100.5025125626,-13.901507537688449,21417.0,24875.0,16.146052201522153,21417.0,24875.0,16.146052201522153,29.50333194502291,5667.0,-22.781909547738707,29.50333194502291,5667.0,29.50333194502291,5667.0
local-adapters,slatedb-sync,10000,diff,random,5,3,884958.0,958959.0,8.362091760286928,112999.71298072902,104279.74501516749,-7.716805410867404,884958.0,958959.0,8.362091760286928,884958.0,958959.0,8.362091760286928,16.578995675816298,136376.0,-14.22125450618848,16.578995675816298,136376.0,16.578995675816298,136376.0
local-adapters,slatedb-sync,10000,merge,append,5,3,102250667.0,102036791.0,-0.20916831769909142,1955.9774607631655,1960.0773215221948,0.20960674860893597,102250667.0,102036791.0,-0.20916831769909142,102250667.0,102036791.0,-0.20916831769909142,0.18126663912806096,184624.0,-0.18093865770437348,0.18126663912806096,184624.0,0.18126663912806096,184624.0
