suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
local-adapters,rocksdb-sync,10000,reopen,append,5,3,2.281496607894416,67750.0,-2.2306054208815085,2.281496607894416,67750.0,2.281496607894416,67750.0,pass,
local-adapters,rocksdb-sync,10000,reopen,clustered,5,3,-10.616433115090897,-339916.0,11.87738807599913,-10.616433115090897,-339916.0,-10.616433115090897,-339916.0,pass,
local-adapters,rocksdb-sync,10000,reopen,random,5,3,-2.5689125961477797,-92833.0,2.6366457201689983,-2.5689125961477797,-92833.0,-2.5689125961477797,-92833.0,pass,
local-adapters,slatedb-sync,10000,batch,append,5,3,0.535079049992586,549334.0,-0.5322311923846114,0.535079049992586,549334.0,0.535079049992586,549334.0,pass,
local-adapters,slatedb-sync,10000,batch,clustered,5,3,0.12882881018000938,132624.0,-0.1286630550969891,0.12882881018000938,132624.0,0.12882881018000938,132624.0,pass,
local-adapters,slatedb-sync,10000,batch,random,5,3,0.4994057670025481,511291.0,-0.49692409939257004,0.4994057670025481,511291.0,0.4994057670025481,511291.0,pass,
local-adapters,slatedb-sync,10000,build,append,5,3,-0.9588362934484183,-969125.0,0.9681189694916593,-0.9588362934484183,-969125.0,-0.9588362934484183,-969125.0,pass,
local-adapters,slatedb-sync,10000,build,clustered,5,3,0.06148472983289313,62291.0,-0.06144694934209525,0.06148472983289313,62291.0,0.06148472983289313,62291.0,pass,
local-adapters,slatedb-sync,10000,build,random,5,3,0.18181081428331405,183958.0,-0.18148086244954575,0.18181081428331405,183958.0,0.18181081428331405,183958.0,pass,
local-adapters,slatedb-sync,10000,diff,append,5,3,-15.131578947368421,-2875.0,17.82945736434109,-15.131578947368421,-2875.0,-15.131578947368421,-2875.0,pass,
local-adapters,slatedb-sync,10000,diff,clustered,5,3,29.50333194502291,5667.0,-22.781909547738707,29.50333194502291,5667.0,29.50333194502291,5667.0,fail,median_latency_regression;median_throughput_regression
local-adapters,slatedb-sync,10000,diff,random,5,3,16.578995675816298,136376.0,-14.22125450618848,16.578995675816298,136376.0,16.578995675816298,136376.0,fail,median_latency_regression;median_throughput_regression;p95_latency_regression
local-adapters,slatedb-sync,10000,merge,append,5,3,0.18126663912806096,184624.0,-0.18093865770437348,0.18126663912806096,184624.0,0.18126663912806096,184624.0,pass,
local-adapters,slatedb-sync,10000,merge,clustered,5,3,-0.16831016970420265,-172375.0,0.16859393043463927,-0.16831016970420265,-172375.0,-0.16831016970420265,-172375.0,pass,
local-adapters,slatedb-sync,10000,merge,random,5,3,0.1951365438438453,202541.0,-0.19475650273549264,0.1951365438438453,202541.0,0.1951365438438453,202541.0,pass,
local-adapters,slatedb-sync,10000,put,append,5,3,-0.16700277186768342,-17150458.0,0.16728213767443514,-0.08894824941999337,-91626.0,0.02424761888024933,25084.0,pass,
local-adapters,slatedb-sync,10000,put,clustered,5,3,-0.020461122499769432,-2095667.0,0.020465309931895697,-0.07055195387932932,-72292.0,0.04586010019762226,47458.0,pass,
