implementation,revision,contract_version,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,repetition,peak_rss_bytes
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,point_read,10000,1438917,143.892,6949671.176,86e38047f6ae04b3,10000,true,3,6848512
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,fresh,clustered,range_scan,10000,45833,4.583,218183404.970,86e38047f6ae04b3,10000,true,3,6848512
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,write,3000,2377917,792.639,1261608.374,2ef1df79e1226620,13000,true,3,29179904
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,point_read,13000,4299834,330.756,3023372.530,2ef1df79e1226620,13000,true,3,29179904
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,append,range_scan,13000,274416,21.109,47373331.001,2ef1df79e1226620,13000,true,3,29179904
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,write,3000,817584,272.528,3669347.737,2ef1df79e1226620,13000,true,3,7880704
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,point_read,13000,1314000,101.077,9893455.099,2ef1df79e1226620,13000,true,3,7880704
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,append,range_scan,13000,70833,5.449,183530275.437,2ef1df79e1226620,13000,true,3,7880704
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,write,3000,4267834,1422.611,702932.682,3bc7e45ef276a1c5,11500,true,3,29147136
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,point_read,13000,4826709,371.285,2693346.543,3bc7e45ef276a1c5,11500,true,3,29147136
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,random,range_scan,11500,236708,20.583,48583064.366,3bc7e45ef276a1c5,11500,true,3,29147136
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,write,3000,5366542,1788.847,559019.197,3bc7e45ef276a1c5,11500,true,3,12828672
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,point_read,13000,1872542,144.042,6942434.402,3bc7e45ef276a1c5,11500,true,3,12828672
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,random,range_scan,11500,64792,5.634,177491048.278,3bc7e45ef276a1c5,11500,true,3,12828672
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,write,3000,1938416,646.139,1547655.405,5caed8dbd3056277,11500,true,3,9371648
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,point_read,13000,1205375,92.721,10785025.407,5caed8dbd3056277,11500,true,3,9371648
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,66750,5.804,172284644.195,5caed8dbd3056277,11500,true,3,9371648
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,write,3000,1929667,643.222,1554672.386,5caed8dbd3056277,11500,true,3,29163520
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,point_read,13000,4307917,331.378,3017699.737,5caed8dbd3056277,11500,true,3,29163520
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,10000,mutation,clustered,range_scan,11500,244833,21.290,46970792.336,5caed8dbd3056277,11500,true,3,29163520
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,write,50000,13511291,270.226,3700608.624,bd7b883b605f8118,50000,true,1,21872640
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,point_read,50000,8288500,165.770,6032454.606,bd7b883b605f8118,50000,true,1,21872640
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,append,range_scan,50000,220167,4.403,227100337.471,bd7b883b605f8118,50000,true,1,21872640
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,write,50000,35571333,711.427,1405626.267,bd7b883b605f8118,50000,true,1,69861376
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,point_read,50000,21403583,428.072,2336057.472,bd7b883b605f8118,50000,true,1,69861376
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,append,range_scan,50000,1029833,20.597,48551561.273,bd7b883b605f8118,50000,true,1,69861376
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,random,write,50000,17129750,342.595,2918898.408,ccbb2643dbf4bfa2,50000,true,1,21839872
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,random,point_read,50000,8257416,165.148,6055163.020,ccbb2643dbf4bfa2,50000,true,1,21839872
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,random,range_scan,50000,226083,4.522,221157716.414,ccbb2643dbf4bfa2,50000,true,1,21839872
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,random,write,50000,40221667,804.433,1243111.082,ccbb2643dbf4bfa2,50000,true,1,75120640
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,random,point_read,50000,21478083,429.562,2327954.501,ccbb2643dbf4bfa2,50000,true,1,75120640
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,random,range_scan,50000,1031292,20.626,48482873.910,ccbb2643dbf4bfa2,50000,true,1,75120640
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,clustered,write,50000,34566417,691.328,1446490.679,205a94f559ff5dec,50000,true,1,72810496
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,clustered,point_read,50000,21399375,427.988,2336516.838,205a94f559ff5dec,50000,true,1,72810496
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,fresh,clustered,range_scan,50000,1031042,20.621,48494629.705,205a94f559ff5dec,50000,true,1,72810496
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,clustered,write,50000,15654083,313.082,3194054.867,205a94f559ff5dec,50000,true,1,22462464
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,clustered,point_read,50000,8254125,165.083,6057577.272,205a94f559ff5dec,50000,true,1,22462464
rust,a1e31dc403e5+src.24beb50ee9ec,prolly-compare-v1,50000,fresh,clustered,range_scan,50000,220291,4.406,226972504.551,205a94f559ff5dec,50000,true,1,22462464
dolt-go,9e80d3aa2cf8+runner.6bf12dc88bef,prolly-compare-v1,50000,mutation,append,write,15000,14020458,934.697,1069865.193,3c499f1c4facc286,65000,true,1,65814528
