implementation,revision,contract_version,records,density,locality,operation,relationship,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_digest,result_count,base_count,target_count,conflict_count,validated,repetition,peak_rss_bytes
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,patch_generate,compare,3000,7250,2.417,413793103.448,7f395d4783d9afa6,9ad63afc51a24d9d,1,10000,10000,0,true,1,46825472
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,patch_apply,compare,3000,42167,14.056,71145682.643,7f395d4783d9afa6,3edcab869b202ab0,10000,10000,10000,0,true,1,46825472
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,merge_disjoint,disjoint,6000,2614916,435.819,2294528.773,ef03cf1363d94170,9fb1060a89613f1c,10000,10000,10000,0,true,1,46825472
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,merge_convergent,convergent,3000,15834,5.278,189465706.707,787f080f522402c9,3edcab869b202ab0,10000,10000,10000,0,true,1,46825472
dolt-go,6b2372c7d4de+runner.652d11a2d7f2,prolly-version-compare-v1,10000,30,clustered,merge_conflict,conflict,3000,2349875,783.292,1276663.652,a4cf1e0f37cdcdf1,3edcab869b202ab0,10000,10000,10000,3000,true,1,46825472
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,full_diff,compare,1,84,84.000,11904761.905,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,7372800
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,range_diff,compare,1,500,500.000,2000000.000,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,7372800
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,patch_generate,compare,1,3083,3083.000,324359.390,6cd57fc05ba05b0a,0010cdf9f9a8266d,0,10000,10000,0,true,2,7372800
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,patch_apply,compare,1,1042,1042.000,959692.898,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,2,7372800
rust,677bc05461ac+src.4839a3a46636,prolly-version-compare-v1,10000,0,none,merge_noop,noop,1,292,292.000,3424657.534,6cd57fc05ba05b0a,83956e885e76781d,10000,10000,10000,0,true,2,7372800
