records,density,locality,operation,relationship,runs,rust_median_ns,go_median_ns,rust_median_ns_per_op,go_median_ns_per_op,rust_cv_percent,go_cv_percent,rust_vs_go,winner,winner_consistent
5000000,30,random,merge_convergent,convergent,3,125,827042,0.0,0.551,66.06616195660594,0.3221418164533231,6616.336,rust,True
5000000,30,random,merge_disjoint,disjoint,3,4009235292,2409517708,1336.412,803.173,5.108273047405863,0.19989472460469887,0.6009918432095853,dolt-go,True
5000000,30,random,patch_apply,compare,3,3989703959,116208,2659.803,0.077,2.9231600114843914,3.9379212793151326,2.9126973127381355e-05,dolt-go,True
5000000,30,random,patch_generate,compare,3,264597958,33834,176.399,0.023,2.1362735611690664,14.344091821932015,0.00012786946753383485,dolt-go,True
5000000,30,random,range_diff,compare,3,29724083,71353875,181.803,436.426,12.055608523432431,1.406994157187001,2.400540834178131,rust,True
10000000,0,none,full_diff,compare,3,42,1917,42.0,1917.0,1.131370849898476,3.5571063620698076,45.642857142857146,rust,True
10000000,0,none,merge_noop,noop,3,334,50542,334.0,50542.0,37.272463371497714,126.49262103119551,151.32335329341316,rust,True
10000000,0,none,patch_apply,compare,3,1375,375,1375.0,375.0,1.4547384183117804,9.144761706390533,0.2727272727272727,dolt-go,True
10000000,0,none,patch_generate,compare,3,3917,4500,3917.0,4500.0,8.20373872008536,75.09453718799432,1.148838396732193,rust,False
10000000,0,none,range_diff,compare,3,58625,3208,58625.0,3208.0,16.918835637445557,2.1817729241916006,0.054720682302771856,dolt-go,True
10000000,1,append,full_diff,compare,3,6854625,19132792,68.546,191.328,2.924194395061259,3.7532430794509053,2.791223735798822,rust,True
10000000,1,append,merge_conflict,conflict,3,105007167,48481000,1050.072,484.81,1.0573794996547874,0.16467795032650917,0.4616922957268241,dolt-go,True
10000000,1,append,merge_convergent,convergent,3,125,72667,0.001,0.727,46.65089570944746,2.578185277021806,581.336,rust,True
10000000,1,append,merge_disjoint,disjoint,3,66011709,503250,330.059,2.516,0.7872804555372317,2.0073190193982913,0.007623647495628389,dolt-go,True
10000000,1,append,patch_apply,compare,3,447946959,120834,4479.47,1.208,4.570319552282368,11.242197261607975,0.0002697506871566908,dolt-go,True
10000000,1,append,patch_generate,compare,3,7910500,17167,79.105,0.172,1.2333445675810157,20.461169696591355,0.002170153593325327,dolt-go,True
10000000,1,append,range_diff,compare,3,7343875,19883958,73.439,198.84,1.8063635931879425,2.4172016816556128,2.70755670541778,rust,True
10000000,1,clustered,full_diff,compare,3,18444958,29521250,184.45,295.212,1.093626815071927,28.557969101012464,1.6005051353329187,rust,True
10000000,1,clustered,merge_conflict,conflict,3,142721791,63982500,1427.218,639.825,0.21093350854117818,1.8832036108597379,0.44830224979449707,dolt-go,True
10000000,1,clustered,merge_convergent,convergent,3,541,57500,0.005,0.575,59.537863221912765,10.63661510040156,106.28465804066543,rust,True
