suite,revision_role,pair,schema,revision,dirty,adapter,records,repetition,api,pattern,configured_changes,observed_changes,total_ns,operations_per_sec,p50_ns,p95_ns,p99_ns,max_ns,db_bytes_before,db_bytes_after,expected_records,observed_records,validated,error
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,batch,clustered,100,100,3066167,32614.00960873951,3066167,6246625,6292291,6292291,515008,2121808,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,append,100,100,790042,126575.54914801999,790042,1144166,1844625,1844625,515008,560328,10100,10100,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,append,100,100,776750,128741.5513356936,776750,970708,979625,979625,515008,560328,10100,10100,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,random,100,100,7229167,13832.852388110552,7229167,9359125,9483042,9483042,515008,955848,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,random,100,100,7651333,13069.618065244318,7651333,10505833,10870542,10870542,515008,955848,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,diff,clustered,100,100,870750,114843.52569623888,870750,1083791,2107000,2107000,515008,572688,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,diff,clustered,100,100,910917,109779.48594657911,910917,1203917,1223125,1223125,515008,572688,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,append,100,200,2861208,69900.54550385711,2861208,3474292,3760417,3760417,515008,638608,10200,10200,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,append,100,200,3395166,58907.281705813504,3395166,6021667,7120917,7120917,515008,638608,10200,10200,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,random,100,200,14509042,13784.50761945551,14509042,44181708,50514375,50514375,515008,1775728,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,random,100,200,13706167,14591.971628537724,13706167,15884917,19398375,19398375,515008,1775728,10000,10000,true,
sqlite-turso,candidate,2,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,turso-async,10000,1,merge,clustered,100,200,1830708,109247.35129796778,1830708,2465583,2640083,2640083,515008,622128,10000,10000,true,
sqlite-turso,baseline,2,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,turso-async,10000,1,merge,clustered,100,200,1784833,112055.30153241228,1784833,3193583,3806583,3806583,515008,622128,10000,10000,true,
sqlite-turso,baseline,3,sqlite-turso-local-v1,a2f4e7a3066d2259783c8d815b45c0461c77b06b,false,sqlite-sync,10000,1,put,append,100,100,18386042,5438.908493736716,100083,150167,683458,10808708,483328,42962736,10100,10100,true,
sqlite-turso,candidate,3,sqlite-turso-local-v1,81357948363fdb51dbc201ae5ba1a7377bb297e0,false,sqlite-sync,10000,1,put,append,100,100,17639583,5669.068254051131,99542,149542,605958,12148084,483328,42962736,10100,10100,true,
