revision,adapter,records,changes,api,pattern,run,total_ns,operations_per_sec,p50_ns,p95_ns,root,node_count,byte_count,value_valid,count_valid,root_valid,reopen_valid
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,append,4,85557625,3506408.6923871483,85557625,85557625,7a4b61ffc8e32f0f372fa3aaebab6988885f71128384f51c1a0a428722c276dc,9974,38456519,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,random,4,780251875,384491.2259903252,780251875,780251875,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,random,4,765580292,391859.616992335,765580292,765580292,6709a9f60bb9f89c07c8b85329eebb082db61c8759f25c3b18e8ed3affcd9c79,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,merge,clustered,4,11086375,27060242.86567972,11086375,11086375,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,merge,clustered,4,11313541,26516896.876053218,11313541,11313541,69a73d0b31311999d87a6c97991112aaa05b39a78aa46b8d1e8eaca40eb561e3,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,append,5,48615291,3085448.979416785,48615291,48615291,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,append,5,52658209,2848558.7118999814,52658209,52658209,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,random,5,238073417,630057.7439101485,238073417,238073417,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,random,5,214710417,698615.3820380312,214710417,214710417,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,batch,clustered,5,63214333,2372879.5809646524,63214333,63214333,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,batch,clustered,5,74470917,2014209.117365911,74470917,74470917,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,append,5,392810250,2545758.4164364343,392810250,392810250,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,append,5,352158667,2839629.1038891287,352158667,352158667,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,random,5,687254167,1455065.7500778749,687254167,687254167,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,random,5,697212333,1434283.2917156674,697212333,697212333,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,build,clustered,5,460731458,2170461.7356516602,460731458,460731458,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,build,clustered,5,444064333,2251925.961367404,444064333,444064333,2d6d851d114b0e9574bd7d7aba799bdcf9b2e5395f5c556ad902d0ea9de318db,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,append,5,18285458,8203239.973535254,18285458,18285458,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,append,5,18132417,8272476.857332367,18132417,18132417,989291b8bd012b2db200787093492900f87c7736407ec5433f8e6def31cfbe9c,8827,34019488,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,random,5,107266292,1398388.9738632897,107266292,107266292,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,random,5,110616958,1356030.7814648093,110616958,110616958,6494b9ee843c1e4e93fd8a0eea5a061f16ef183c7ce7974ede7478f5ba688f0a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,memory-sync,1000000,150000,diff,clustered,5,22856625,6562648.68500927,22856625,22856625,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
sqlite-balanced6-final-v2,sqlite-sync,1000000,150000,diff,clustered,5,23685000,6333122.229259024,23685000,23685000,57c094e91119e6df53a8dea91b80d2056df31d91db5ecc14826851916421b16a,7676,29582168,true,true,true,true
