implementation,revision,records,phase,workload,operation,operations,elapsed_ns,ns_per_op,ops_per_sec,workload_digest,result_count,validated,run
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,clustered,point_read,100000,63767208,637.672,1568204.147,800dca3c814e1e50,1150000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,mutation,clustered,range_scan,1150000,30746084,26.736,37403137.258,800dca3c814e1e50,1150000,true,1
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,write,1000000,1939110833,1939.111,515700.280,9022bebe1b37f1a0,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,point_read,100000,144606125,1446.061,691533.640,9022bebe1b37f1a0,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,append,range_scan,1000000,26304209,26.304,38016729.566,9022bebe1b37f1a0,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,write,1000000,295347875,295.348,3385837.802,9022bebe1b37f1a0,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,point_read,100000,57308541,573.085,1744940.601,9022bebe1b37f1a0,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,append,range_scan,1000000,5388083,5.388,185594765.337,9022bebe1b37f1a0,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,write,1000000,2416209417,2416.209,413871.411,1ea63edc2fc9d3ae,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,point_read,100000,140853041,1408.530,709959.823,1ea63edc2fc9d3ae,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,random,range_scan,1000000,26068375,26.068,38360657.310,1ea63edc2fc9d3ae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,write,1000000,681131458,681.131,1468145.375,1ea63edc2fc9d3ae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,point_read,100000,70557708,705.577,1417279.598,1ea63edc2fc9d3ae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,random,range_scan,1000000,5040416,5.040,198396322.843,1ea63edc2fc9d3ae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,write,1000000,396995791,396.996,2518918.393,97982a098e54aeae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,point_read,100000,67745500,677.455,1476112.805,97982a098e54aeae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,fresh,clustered,range_scan,1000000,8848791,8.849,113009788.569,97982a098e54aeae,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,write,1000000,1715419375,1715.419,582947.829,97982a098e54aeae,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,point_read,100000,138625625,1386.256,721367.352,97982a098e54aeae,1000000,true,2
dolt-go,6b2372c7d4de+runner.0eeaa05ba605,1000000,fresh,clustered,range_scan,1000000,26407750,26.408,37867671.422,97982a098e54aeae,1000000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,append,write,300000,90919292,303.064,3299629.742,5b78f26021f8f5fe,1300000,true,2
rust,b087770d79b5+src.b85a0408b624,1000000,mutation,append,point_read,100000,18390542,183.905,5437577.642,5b78f26021f8f5fe,1300000,true,2
