workload,base_entries,mutations,workers,effective_workers,callers,run,elapsed_ns,ops_per_sec,p50_ns,p95_ns,p99_ns,peak_rss_bytes,nodes_read,nodes_written,bytes_read,bytes_written,batch_get_calls,batch_put_calls,parallel_tasks,structural_islands,coalesced_islands,root
value-only,1000000,100000,0,12,1,30,226117666,442247.622,226117666,229345750,231346416,1020133376,14912,14912,27820240,27220240,36,1,12,0,0,3ef215964636db4b2c61d4d3073a3213d7503e5ecc21a3e193ba51d78db93c3a
mixed-60-20-20,1000000,100000,1,1,1,1,351716125,284320.203,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,2,327795916,305067.864,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,3,332908250,300383.064,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,4,330531750,302542.797,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,5,332097583,301116.314,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,6,337637500,296175.632,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,7,336020500,297600.890,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,8,335299833,298240.530,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
mixed-60-20-20,1000000,100000,1,1,1,9,332398584,300843.640,332398584,337637500,351716125,1178632192,14925,14890,27826777,27824859,0,1,0,0,0,d469989e74ce658461911e069cf78330d744fc0130f6f6d8d16ea51e184b6b5b
