config_hash,records,value_bytes,clients,pool_size,operation,tenant_class,attempted,completed,successful_ops_per_sec,p50_ns,p95_ns,p99_ns,p999_ns,max_ns,conflict_rate,retry_rate,error_rate,pg_statements_per_cell_operation,pg_wal_bytes_per_cell_operation,prolly_nodes_read_per_operation,prolly_nodes_written_per_operation,prolly_batch_reads_per_operation
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,diff,independent,155,155,7.543147227844433,243924991,360972287,393740287,395575295,395575295,0.0,0.0,0.0,19.497710922171354,614003.4754741661,78.43870967741935,0.0,22.780645161290323
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,merge,hot,45,0,0.0,1158676479,1247805439,1274019839,1274019839,1274019839,1.0,0.0,0.0,19.497710922171354,614003.4754741661,inf,inf,inf
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,merge,independent,35,30,1.4599639795827937,1182793727,1367343103,1371537407,1371537407,1371537407,0.14285714285714285,0.0,0.0,19.497710922171354,614003.4754741661,48.96666666666667,51.5,48.96666666666667
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,multi_read,hot,45,45,2.1899459693741905,434634751,530841599,546308095,546308095,546308095,0.0,0.0,0.0,19.497710922171354,614003.4754741661,40.111111111111114,0.0,17.68888888888889
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,multi_read,independent,196,196,9.538431333274252,428343295,504365055,541589503,557842431,557842431,0.0,0.0,0.0,19.497710922171354,614003.4754741661,40.18877551020408,0.0,17.653061224489797
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,point_read,hot,140,140,6.8131652380530365,86245375,110231551,122159103,139591679,139591679,0.0,0.0,0.0,19.497710922171354,614003.4754741661,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,8,point_read,independent,583,583,28.371966669892288,85524479,110362623,134873087,158728191,158728191,0.0,0.0,0.0,19.497710922171354,614003.4754741661,3.0,0.0,0.0
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,commit,hot,123,78,3.8096090489448375,1060110335,1342177279,1416626175,1456472063,1456472063,0.8206896551724138,2.5365853658536586,0.0,20.281663516068054,626852.6086956522,69.7948717948718,131.6153846153846,69.7948717948718
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,commit,independent,435,435,21.24589661911544,496500735,778567679,926416895,1234173951,1234173951,0.16184971098265896,0.19310344827586207,0.0,20.281663516068054,626852.6086956522,26.689655172413794,28.055172413793102,26.689655172413794
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,diff,hot,5,5,0.2442057082656947,157417471,284164095,284164095,284164095,284164095,0.0,0.0,0.0,20.281663516068054,626852.6086956522,72.0,0.0,22.2
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,diff,independent,218,218,10.64736888038429,235798527,385089535,436731903,455606271,455606271,0.0,0.0,0.0,20.281663516068054,626852.6086956522,94.39449541284404,0.0,28.155963302752294
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,merge,hot,63,0,0.0,796917759,936378367,967835647,967835647,967835647,1.0,0.0,0.0,20.281663516068054,626852.6086956522,inf,inf,inf
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,merge,independent,49,38,1.8559633828192799,818413567,975175679,1158676479,1158676479,1158676479,0.22448979591836735,0.0,0.0,20.281663516068054,626852.6086956522,54.13157894736842,56.921052631578945,54.13157894736842
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,multi_read,hot,63,63,3.0769919241477535,290455551,367263743,379060223,379060223,379060223,0.0,0.0,0.0,20.281663516068054,626852.6086956522,40.25396825396825,0.0,17.6984126984127
226f7ec3adda703157b06c3be370251fb2ec3c8b2ca80a7d5686b6593ced7b9a,100000,256,32,32,multi_read,independent,273,273,13.33363167130693,296747007,360710143,382730239,393740287,393740287,0.0,0.0,0.0,20.281663516068054,626852.6086956522,40.27838827838828,0.0,17.65934065934066
